Idade;Campo de Experiência;OBJETIVOS DE APRENDIZAGEM E DESENVOLVIMENTO
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF03) Demonstrar interesse ao ouvir histórias lidas ou contadas, observando ilustrações e os movimentos de leitura do adulto-leitor (modo de segurar o portador e de virar as páginas).
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF04) Reconhecer elementos das ilustrações de histórias, apontando-os, a pedido do adulto-leitor.
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF05) Imitar as variações de entonação e gestos realizados pelos adultos, ao ler histórias e ao cantar.
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF06) Comunicar-se com outras pessoas usando movimentos, gestos, balbucios, fala e outras formas de expressão.
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF07) Conhecer e manipular materiais impressos e audiovisuais em diferentes portadores (livro, revista, gibi, jornal, cartaz, CD, tablet etc.).
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF08) Participar de situações de escuta de textos em diferentes gêneros textuais (poemas, fábulas, contos, receitas, quadrinhos, anúncios etc.).
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF09) Conhecer e manipular diferentes instrumentos e suportes de escrita.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF01) Dialogar com crianças e adultos, expressando seus desejos, necessidades, sentimentos e opiniões.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF02) Identificar e criar diferentes sons e reconhecer rimas e aliterações em cantigas de roda e textos poéticos.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF03) Demonstrar interesse e atenção ao ouvir a leitura de histórias e outros textos, diferenciando escrita de ilustrações, e acompanhando, com orientação do adulto-leitor, a direção da leitura (de cima para baixo, da esquerda para a direita).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF05) Relatar experiências e fatos acontecidos, histórias ouvidas, filmes ou peças teatrais assistidos etc.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF04) Formular e responder perguntas sobre fatos da história narrada, identificando cenários, personagens e principais acontecimentos.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF06) Criar e contar histórias oralmente, com base em imagens ou temas sugeridos.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF08) Manipular textos e participar de situações de escuta para ampliar seu contato com diferentes gêneros textuais (parlendas, histórias de aventura, tirinhas, cartazes de sala, cardápios, notícias etc.).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF07) Manusear diferentes portadores textuais, demonstrando reconhecer seus usos sociais.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI02EF09) Manusear diferentes instrumentos e suportes de escrita para desenhar, traçar letras e outros sinais gráficos.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF01) Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF02) Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF03) Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF04) Recontar histórias ouvidas e planejar coletivamente roteiros de vídeos e de encenações, definindo os contextos, os personagens, a estrutura da história.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF05) Recontar histórias ouvidas para produção de reconto escrito, tendo o professor como escriba.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF06) Produzir suas próprias histórias orais e escritas (escrita espontânea), em situações com função social significativa.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF07) Levantar hipóteses sobre gêneros textuais veiculados em portadores conhecidos, recorrendo a estratégias de observação gráfica e/ou de leitura.
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF08) Selecionar livros e textos de gêneros conhecidos para a leitura de um adulto e/ou para sua própria leitura (partindo de seu repertório sobre esses textos, como a recuperação pela memória, pela leitura das ilustrações etc.).
Crianças pequenas (4 anos a 5 anos e 11 meses);Escuta, Fala, Pensamento e Imaginação;(EI03EF09) Levantar hipóteses em relação à linguagem escrita, realizando registros de palavras e textos, por meio de escrita espontânea.
Bebês (zero a 1 ano e 6 meses);Espaços, tempos, quantidades, relações e transformações;(EI01ET01) Explorar e descobrir as propriedades de objetos e materiais (odor, cor, sabor, temperatura).
Bebês (zero a 1 ano e 6 meses);Espaços, tempos, quantidades, relações e transformações;(EI01ET02) Explorar relações de causa e efeito (transbordar, tingir, misturar, mover e remover etc.) na interação com o mundo físico.
Bebês (zero a 1 ano e 6 meses);Espaços, tempos, quantidades, relações e transformações;(EI01ET03) Explorar o ambiente pela ação e observação, manipulando, experimentando e fazendo descobertas.
Bebês (zero a 1 ano e 6 meses);Espaços, tempos, quantidades, relações e transformações;(EI01ET04) Manipular, experimentar, arrumar e explorar o espaço por meio de experiências de deslocamentos de si e dos objetos.
Bebês (zero a 1 ano e 6 meses);Espaços, tempos, quantidades, relações e transformações;(EI01ET05) Manipular materiais diversos e variados para comparar as diferenças e semelhanças entre eles.
Bebês (zero a 1 ano e 6 meses);Espaços, tempos, quantidades, relações e transformações;(EI01ET06) Vivenciar diferentes ritmos, velocidades e fluxos nas interações e brincadeiras (em danças, balanços, escorregadores etc.).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET01) Explorar e descrever semelhanças e diferenças entre as características e propriedades dos objetos (textura, massa, tamanho).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET02) Observar, relatar e descrever incidentes do cotidiano e fenômenos naturais (luz solar, vento, chuva etc.).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET03) Compartilhar, com outras crianças, situações de cuidado de plantas e animais nos espaços da instituição e fora dela.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET04) Identificar relações espaciais (dentro e fora, em cima, embaixo, acima, abaixo, entre e do lado) e temporais (antes, durante e depois).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET05) Classificar objetos, considerando determinado atributo (tamanho, peso, cor, forma etc.).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET06) Utilizar conceitos básicos de tempo (agora, antes, durante, depois, ontem, hoje, amanhã, lento, rápido, depressa, devagar).
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET07) Contar oralmente objetos, pessoas, livros etc., em contextos diversos.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI02ET08) Registrar com números a quantidade de crianças (meninas e meninos, presentes e ausentes) e a quantidade de objetos da mesma natureza (bonecas, bolas, livros etc.).
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET01) Estabelecer relações de comparação entre objetos, observando suas propriedades.
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET02) Observar e descrever mudanças em diferentes materiais, resultantes de ações sobre eles, em experimentos envolvendo fenômenos naturais e artificiais.
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET03) Identificar e selecionar fontes de informações, para responder a questões sobre a natureza, seus fenômenos, sua conservação.
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET04) Registrar observações, manipulações e medidas, usando múltiplas linguagens (desenho, registro por números ou escrita espontânea), em diferentes suportes.
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET05) Classificar objetos e figuras de acordo com suas semelhanças e diferenças.
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET06) Relatar fatos importantes sobre seu nascimento e desenvolvimento, a história dos seus familiares e da sua comunidade.
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET07) Relacionar números às suas respectivas quantidades e identificar o antes, o depois e o entre em uma sequência.
Crianças pequenas (4 anos a 5 anos e 11 meses);Espaços, tempos, quantidades, relações e transformações;(EI03ET08) Expressar medidas (peso, altura etc.), construindo gráficos básicos.
Bebês (zero a 1 ano e 6 meses);O eu, o outro e o nós;(EI01EO01) Perceber que suas ações têm efeitos nas outras crianças e nos adultos.
Bebês (zero a 1 ano e 6 meses);O eu, o outro e o nós;(EI01EO02) Perceber as possibilidades e os limites de seu corpo nas brincadeiras e interações das quais participa.
Bebês (zero a 1 ano e 6 meses);O eu, o outro e o nós;(EI01EO03) Interagir com crianças da mesma faixa etária e adultos ao explorar espaços, materiais, objetos, brinquedos.
Bebês (zero a 1 ano e 6 meses);O eu, o outro e o nós;(EI01EO04) Comunicar necessidades, desejos e emoções, utilizando gestos, balbucios, palavras.
Bebês (zero a 1 ano e 6 meses);O eu, o outro e o nós;(EI01EO05) Reconhecer seu corpo e expressar suas sensações em momentos de alimentação, higiene, brincadeira e descanso.
Bebês (zero a 1 ano e 6 meses);O eu, o outro e o nós;(EI01EO06) Interagir com outras crianças da mesma faixa etária e adultos, adaptando-se ao convívio social.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);O eu, o outro e o nós;(EI02EO01) Demonstrar atitudes de cuidado e solidariedade na interação com crianças e adultos.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);O eu, o outro e o nós;(EI02EO03) Compartilhar os objetos e os espaços com crianças da mesma faixa etária e adultos.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);O eu, o outro e o nós;(EI02EO04) Comunicar-se com os colegas e os adultos, buscando compreendê-los e fazendo-se compreender.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);O eu, o outro e o nós;(EI02EO05) Perceber que as pessoas têm características físicas diferentes, respeitando essas diferenças.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);O eu, o outro e o nós;(EI02EO06) Respeitar regras básicas de convívio social nas interações e brincadeiras.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);O eu, o outro e o nós;(EI02EO07) Resolver conflitos nas interações e brincadeiras, com a orientação de um adulto.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);O eu, o outro e o nós;(EI02EO02) Demonstrar imagem positiva de si e confiança em sua capacidade para enfrentar dificuldades e desafios.
Crianças pequenas (4 anos a 5 anos e 11 meses);O eu, o outro e o nós;(EI03EO01) Demonstrar empatia pelos outros, percebendo que as pessoas têm diferentes sentimentos, necessidades e maneiras de pensar e agir.
Crianças pequenas (4 anos a 5 anos e 11 meses);O eu, o outro e o nós;(EI03EO02) Agir de maneira independente, com confiança em suas capacidades, reconhecendo suas conquistas e limitações.
Crianças pequenas (4 anos a 5 anos e 11 meses);O eu, o outro e o nós;(EI03EO03) Ampliar as relações interpessoais, desenvolvendo atitudes de participação e cooperação.
Crianças pequenas (4 anos a 5 anos e 11 meses);O eu, o outro e o nós;(EI03EO04) Comunicar suas ideias e sentimentos a pessoas e grupos diversos.
Crianças pequenas (4 anos a 5 anos e 11 meses);O eu, o outro e o nós;(EI03EO05) Demonstrar valorização das características de seu corpo e respeitar as características dos outros (crianças e adultos) com os quais convive.
Crianças pequenas (4 anos a 5 anos e 11 meses);O eu, o outro e o nós;(EI03EO06) Manifestar interesse e respeito por diferentes culturas e modos de vida.
Crianças pequenas (4 anos a 5 anos e 11 meses);O eu, o outro e o nós;(EI03EO07) Usar estratégias pautadas no respeito mútuo para lidar com conflitos nas interações com crianças e adultos.
Bebês (zero a 1 ano e 6 meses);Traços, Sons, Cores e Formas;(EI01TS01) Explorar sons produzidos com o próprio corpo e com objetos do ambiente.
Bebês (zero a 1 ano e 6 meses);Traços, Sons, Cores e Formas;(EI01TS02) Traçar marcas gráficas, em diferentes suportes, usando instrumentos riscantes e tintas.
Bebês (zero a 1 ano e 6 meses);Traços, Sons, Cores e Formas;(EI01TS03) Explorar diferentes fontes sonoras e materiais para acompanhar brincadeiras cantadas, canções, músicas e melodias.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Traços, Sons, Cores e Formas;(EI02TS01) Criar sons com materiais, objetos e instrumentos musicais, para acompanhar diversos ritmos de música.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Traços, Sons, Cores e Formas;(EI02TS02) Utilizar materiais variados com possibilidades de manipulação (argila, massa de modelar), explorando cores, texturas, superfícies, planos, formas e volumes ao criar objetos tridimensionais.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Traços, Sons, Cores e Formas;(EI02TS03) Utilizar diferentes fontes sonoras disponíveis no ambiente em brincadeiras cantadas, canções, músicas e melodias.
Crianças pequenas (4 anos a 5 anos e 11 meses);Traços, Sons, Cores e Formas;(EI03TS01) Utilizar sons produzidos por materiais, objetos e instrumentos musicais durante brincadeiras de faz de conta, encenações, criações musicais, festas.
Crianças pequenas (4 anos a 5 anos e 11 meses);Traços, Sons, Cores e Formas;(EI03TS02) Expressar-se livremente por meio de desenho, pintura, colagem, dobradura e escultura, criando produções bidimensionais e tridimensionais.
Crianças pequenas (4 anos a 5 anos e 11 meses);Traços, Sons, Cores e Formas;(EI03TS03) Reconhecer as qualidades do som (intensidade, duração, altura e timbre), utilizando-as em suas produções sonoras e ao ouvir músicas e sons.
